payload size,conf-1-10-3,conf-1-5-3,conf-5-1-7,conf-5-2-7
256,11.9615138197,21.5283065369,36.2857236578,38.7330415899
4,9.93425904733,16.4561820057,23.7386677298,22.4306337139
16,13.5596838706,24.5200735053,36.7807509441,34.3629234942
