blocks reconstructed,rx (avg),rx (std),tx (avg),tx (std)
1,588.5184,2.29173063571,74.0903333333,1.32180879438
2,588.501766667,3.09570590424,138.170133333,1.33159547745
3,1121.0098,202.149216256,187.344733333,69.682565313
